,Feature,Coefficient,Coefficient Absolute,colour
1,OverallCond,7159.387383221677,7159.387383221677,green
2,OverallQual,3701.316356764567,3701.316356764567,green
4,KitchenQual_recoded_ordinal,2625.707483689727,2625.707483689727,green
8,KitchenAbvGr,-1690.3047400123003,1690.3047400123003,red
7,Fireplaces,1427.2312376234909,1427.2312376234909,green
12,ScreenPorch_flag_ScreenPorch,1254.3448617702936,1254.3448617702936,green
5,PoolArea,934.274452980099,934.274452980099,green
6,WoodDeckSF,827.2319119928889,827.2319119928889,green
10,OpenPorchSF_flag_OpenPorch,-761.3155649442392,761.3155649442392,red
9,Electrical_recoded_Other,651.1373314819909,651.1373314819909,green
3,HeatingQC_recoded_ordinal,214.41741251607024,214.41741251607024,green
11,EnclosedPorch_flag_Enclosed Porch,-182.14792048402796,182.14792048402796,red
0,ExterQual_recoded_ordinal,-0.0,0.0,red
13,large_shed_flag_Large Shed,-0.0,0.0,red
